iter	Passed	Remaining
458	810	955
459	811	953
460	813	951
461	814	948
462	816	946
463	817	944
464	819	942
465	820	940
466	821	937
467	823	935
468	824	933
469	826	931
470	827	929
471	828	927
472	830	925
473	831	923
474	833	921
475	835	919
476	836	917
477	838	915
478	839	913
479	840	910
480	842	908
481	843	906
482	845	904
483	846	902
484	848	900
485	849	898
486	850	895
487	851	893
488	853	891
489	854	889
490	855	887
491	857	884
492	858	882
493	859	880
494	861	879
495	863	876
496	864	874
497	865	872
498	867	870
499	868	868
500	870	866
501	871	864
502	872	862
503	874	860
504	875	858
505	877	856
506	878	854
507	879	852
508	881	850
509	882	847
510	883	845
511	885	843
512	886	841
513	888	839
514	889	837
515	891	835
516	892	833
517	893	831
518	895	829
519	896	827
520	897	825
521	899	823
522	900	821
523	901	819
524	903	817
525	904	815
526	906	813
527	907	811
528	908	809
529	910	807
530	911	805
531	913	803
532	914	801
533	915	799
534	917	797
535	918	795
536	919	793
537	921	791
538	922	789
539	924	787
540	925	785
541	926	783
542	928	781
543	929	779
544	930	777
545	932	775
546	933	773
547	934	771
548	936	769
549	937	767
550	939	765
551	940	763
552	942	761
553	943	759
554	944	757
555	945	755
556	947	753
557	948	751
558	949	749
559	950	747
560	952	745
561	953	743
562	954	741
563	956	739
564	957	737
565	958	735
566	959	733
567	961	731
568	962	729
569	964	727
570	965	725
571	967	723
572	968	721
573	969	719
574	971	717
575	972	715
576	973	713
577	975	711
578	976	710
579	977	708
580	979	706
581	980	704
582	982	702
583	983	700
584	984	698
585	986	696
586	987	694
587	989	693
588	990	691
589	992	689
590	993	687
591	995	685
592	996	684
593	998	682
594	999	680
595	1000	678
596	1002	676
597	1003	674
598	1005	673
599	1007	671
600	1008	669
601	1010	667
602	1011	665
603	1012	663
604	1014	662
605	1015	660
606	1016	658
607	1018	656
608	1019	654
609	1020	652
610	1022	650
611	1023	648
612	1024	647
613	1026	645
614	1027	643
615	1028	641
616	1030	639
617	1031	637
618	1033	636
619	1034	634
620	1036	632
621	1037	630
622	1039	628
623	1040	627
624	1042	625
625	1043	623
626	1044	621
627	1046	620
628	1047	618
629	1049	616
630	1050	614
631	1052	612
632	1053	610
633	1055	609
634	1056	607
635	1057	605
636	1059	603
637	1061	602
638	1062	600
639	1079	607
640	1081	605
641	1083	603
642	1084	602
643	1085	600
644	1087	598
645	1088	596
646	1090	594
647	1091	592
648	1093	591
649	1094	589
650	1095	587
651	1097	585
652	1098	583
653	1100	582
654	1101	580
655	1102	578
656	1103	576
657	1105	574
658	1106	572
659	1107	570
660	1109	569
661	1110	567
662	1112	565
663	1113	563
664	1114	561
665	1116	559
666	1117	557
667	1118	556
668	1120	554
669	1121	552
670	1122	550
671	1124	548
672	1125	546
673	1127	545
674	1128	543
675	1129	541
676	1131	539
677	1132	537
678	1133	536
679	1135	534
680	1136	532
681	1137	530
682	1139	528
683	1140	526
684	1142	525
685	1143	523
686	1145	521
687	1146	519
688	1147	518
689	1149	516
690	1150	514
691	1152	512
692	1153	511
693	1155	509
694	1156	507
695	1158	505
696	1159	504
697	1160	502
698	1162	500
699	1164	498
700	1165	497
701	1166	495
702	1168	493
703	1169	491
704	1170	489
705	1172	488
706	1173	486
707	1175	484
708	1176	483
709	1178	481
710	1179	479
711	1180	477
712	1182	476
713	1184	474
714	1185	472
715	1187	470
716	1188	469
717	1189	467
718	1191	465
719	1192	463
720	1194	462
721	1195	460
722	1196	458
723	1198	456
724	1200	455
725	1201	453
726	1202	451
727	1204	449
728	1205	448
729	1206	446
730	1208	444
731	1209	442
732	1210	441
733	1213	439
734	1215	438
735	1216	436
736	1217	434
737	1219	432
738	1220	431
739	1221	429
740	1223	427
741	1224	425
742	1226	424
743	1227	422
744	1229	420
745	1230	418
746	1231	417
747	1233	415
748	1234	413
749	1236	412
750	1237	410
751	1238	408
752	1240	406
753	1241	405
754	1243	403
755	1244	401
756	1246	399
757	1247	398
758	1248	396
759	1250	394
760	1251	393
761	1252	391
762	1254	389
763	1255	387
764	1257	386
765	1258	384
766	1260	382
767	1261	381
768	1263	379
769	1264	377
770	1265	376
771	1267	374
772	1268	372
773	1270	371
774	1272	369
775	1273	367
776	1274	365
777	1276	364
778	1277	362
779	1279	360
780	1280	359
781	1281	357
782	1283	355
783	1284	353
784	1286	352
785	1287	350
786	1288	348
787	1290	347
788	1291	345
789	1292	343
790	1294	341
791	1295	340
792	1296	338
793	1298	336
794	1299	335
795	1301	333
796	1302	331
797	1303	330
798	1305	328
799	1306	326
800	1307	324
801	1309	323
802	1310	321
803	1311	319
804	1313	318
805	1314	316
806	1316	314
807	1317	313
808	1318	311
809	1320	309
810	1321	308
811	1323	306
812	1324	304
813	1325	302
814	1327	301
815	1328	299
816	1330	297
817	1331	296
818	1332	294
819	1333	292
820	1335	291
821	1336	289
822	1337	287
823	1338	285
824	1340	284
825	1341	282
826	1343	280
827	1344	279
828	1345	277
829	1347	275
830	1348	274
831	1349	272
832	1351	270
833	1352	269
834	1353	267
835	1355	265
836	1356	264
837	1358	262
838	1359	260
839	1361	259
840	1362	257
841	1363	255
842	1365	254
843	1366	252
844	1367	250
845	1369	249
846	1370	247
847	1372	246
848	1374	244
849	1375	242
850	1377	241
851	1378	239
852	1379	237
853	1380	236
854	1381	234
855	1383	232
856	1384	231
857	1385	229
858	1387	227
859	1388	226
860	1390	224
861	1391	222
862	1393	221
863	1394	219
864	1395	217
865	1396	216
866	1398	214
867	1399	212
868	1401	211
869	1402	209
870	1404	208
871	1406	206
872	1407	204
873	1408	203
874	1409	201
875	1411	199
876	1413	198
877	1414	196
878	1415	194
879	1417	193
880	1418	191
881	1419	189
882	1421	188
883	1422	186
884	1423	184
885	1425	183
886	1426	181
887	1427	180
888	1429	178
889	1430	176
890	1432	175
891	1433	173
892	1434	171
893	1436	170
894	1437	168
895	1439	167
896	1440	165
897	1441	163
898	1443	162
899	1444	160
900	1446	158
901	1447	157
902	1449	155
903	1450	154
904	1452	152
905	1453	150
906	1454	149
907	1456	147
908	1457	145
909	1458	144
910	1460	142
911	1462	141
912	1463	139
913	1465	137
914	1466	136
915	1467	134
916	1469	132
917	1470	131
918	1472	129
919	1473	128
920	1474	126
921	1476	124
922	1477	123
923	1478	121
924	1480	120
925	1481	118
926	1483	116
927	1484	115
928	1485	113
929	1486	111
930	1488	110
931	1490	108
932	1491	107
933	1492	105
934	1494	103
935	1495	102
936	1497	100
937	1498	99
938	1500	97
939	1502	95
940	1504	94
941	1505	92
942	1506	91
943	1507	89
944	1509	87
945	1510	86
946	1511	84
947	1513	83
948	1514	81
949	1516	79
950	1517	78
951	1519	76
952	1520	75
953	1522	73
954	1523	71
955	1524	70
956	1526	68
957	1527	66
958	1529	65
959	1530	63
960	1531	62
961	1533	60
962	1534	58
963	1535	57
964	1537	55
965	1538	54
966	1539	52
967	1541	50
968	1542	49
969	1543	47
970	1545	46
971	1546	44
972	1548	42
973	1549	41
974	1551	39
975	1552	38
976	1553	36
977	1555	34
978	1556	33
979	1558	31
980	1560	30
981	1561	28
982	1563	27
983	1564	25
984	1565	23
985	1567	22
986	1568	20
987	1570	19
988	1571	17
989	1572	15
990	1574	14
991	1576	12
992	1578	11
993	1580	9
994	1581	7
995	1582	6
996	1584	4
997	1585	3
998	1586	1
999	1588	0
